maintenance_id,machine_id,event_datetime,maintenance_type,failure_code,symptom_text,repair_action,downtime_minutes,parts_cost,labor_hours,technician_id,failure_severity,source_system
MT-000274,MCH-035,2026-05-27 17:43:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,50.2,4442.38,2.36,TECH-002,low,CMMS
MT-000275,MCH-035,2026-07-20 18:22:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,147.44,7670.08,4.66,TECH-017,low,CMMS
MT-000276,MCH-035,2026-02-12 12:21:00,corrective,SENSOR,sensor reading drift and repeated false alarm during production run,recalibrated sensor; replaced cable and verified signal quality,224.74,58763.9,11.95,TECH-006,critical,CMMS
MT-000277,MCH-035,2026-04-27 05:37:00,corrective,MOTOR,motor current unstable; intermittent power loss and torque drop,replaced motor controller; tested current load profile,817.06,68613.94,17.07,TECH-006,critical,CMMS
MT-000278,MCH-035,2026-05-18 20:01:00,corrective,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,163.77,47521.3,16.72,TECH-011,critical,CMMS
MT-000279,MCH-035,2026-07-12 12:36:00,emergency,ELECTRICAL,electrical cabinet alarm and servo reset during high load,tightened terminals; replaced relay; reset servo drive parameters,834.92,25694.57,16.46,TECH-016,critical,CMMS
MT-000280,MCH-036,2025-08-10 08:30:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,134.81,6362.79,4.16,TECH-007,low,CMMS
MT-000281,MCH-036,2025-09-21 11:05:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,73.43,6679.09,3.53,TECH-005,low,CMMS
MT-000282,MCH-036,2025-11-02 17:48:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,113.29,1879.86,4.56,TECH-003,low,CMMS
MT-000283,MCH-036,2025-12-21 07:12:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,115.16,3147.39,2.65,TECH-013,low,CMMS
MT-000284,MCH-036,2026-02-14 17:34:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,135.26,4586.29,2.96,TECH-008,low,CMMS
MT-000285,MCH-036,2026-03-31 06:37:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,124.14,1201.14,4.5,TECH-003,low,CMMS
MT-000286,MCH-036,2026-05-11 10:14:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,69.35,1207.39,5.1,TECH-001,low,CMMS
MT-000287,MCH-036,2026-07-01 14:29:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,73.3,4694.92,3.07,TECH-011,low,CMMS
MT-000288,MCH-036,2025-10-03 07:27:00,corrective,MOTOR,motor current unstable; intermittent power loss and torque drop,replaced motor controller; tested current load profile,666.8,39595.52,13.83,TECH-015,high,CMMS
MT-000289,MCH-036,2025-11-19 05:55:00,corrective,TOOLING,tool wear exceeded threshold; surface scratch defects increased,changed tool set; adjusted feed rate and checked first article,532.01,42449.32,16.18,TECH-011,high,CMMS
MT-000290,MCH-036,2026-02-15 03:26:00,corrective,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,232.49,29258.54,16.95,TECH-004,high,CMMS
